state_ut,district,year,murder,rape,robbery,theft,riots,cheating,dowry_deaths
MAHARASHTRA,SINDHUDURG,2007,17,9,6,132,48,20,4
MAHARASHTRA,SOLAPUR COMMR.,2007,22,12,34,319,69,88,0
MAHARASHTRA,SOLAPUR RURAL,2007,77,46,65,655,270,49,4
MAHARASHTRA,THANE COMMR.,2007,120,78,146,2479,323,477,20
MAHARASHTRA,THANE RURAL,2007,128,67,92,853,300,126,7
MAHARASHTRA,WARDHA,2007,49,31,37,654,88,48,0
MAHARASHTRA,WASHIM,2007,22,14,22,395,88,35,8
MAHARASHTRA,YAVATMAL,2007,70,49,66,994,119,63,8
MANIPUR,BISHNUPUR,2007,31,4,0,38,11,9,0
MANIPUR,CHANDEL,2007,16,0,0,7,2,3,0
MANIPUR,CHURACHANDPUR,2007,28,1,0,46,2,4,0
MANIPUR,IMPHAL EAST,2007,41,1,1,70,13,6,0
MANIPUR,IMPHAL WEST,2007,61,7,3,228,18,40,0
MANIPUR,SENAPATI,2007,17,1,5,12,6,2,0
MANIPUR,TAMENGLONG,2007,3,0,0,5,2,0,0
MANIPUR,THOUBAL,2007,39,6,1,40,16,25,0
MANIPUR,UKHRUL,2007,4,0,1,8,0,4,0
MEGHALAYA,GARO HILLS EAST,2007,9,4,0,32,22,0,0
MEGHALAYA,GARO HILLS SOUTH,2007,2,1,4,12,2,1,0
MEGHALAYA,GARO HILLS WEST,2007,13,4,6,57,2,13,0
